Latitude,Longitude,TotalPop
40.4935678392,-74.25150753770001,4241.0
40.4935678392,-74.2483417085,4241.0
40.4935678392,-74.2451758794,4241.0
40.4935678392,-74.2420100503,4241.0
40.4935678392,-74.2388442211,4241.0
40.4958291457,-74.2546733668,4241.0
40.4958291457,-74.25150753770001,4241.0
40.4958291457,-74.2483417085,4241.0
40.4958291457,-74.2451758794,4241.0
40.4958291457,-74.2420100503,4241.0
40.4958291457,-74.2388442211,4241.0
40.4958291457,-74.235678392,4241.0
40.4958291457,-74.2325125628,4241.0
40.4958291457,-74.2293467337,4241.0
40.4958291457,-74.2261809045,4241.0
40.4980904523,-74.2546733668,4241.0
40.4980904523,-74.25150753770001,4241.0
40.4980904523,-74.2483417085,4241.0
40.4980904523,-74.2451758794,4241.0
40.4980904523,-74.2420100503,4241.0
40.4980904523,-74.2388442211,4241.0
40.4980904523,-74.235678392,4241.0
40.4980904523,-74.2325125628,4241.0
40.4980904523,-74.2293467337,4241.0
40.4980904523,-74.2261809045,4241.0
40.4980904523,-74.2230150754,4241.0
40.4980904523,-74.2198492462,6690.0
40.4980904523,-74.2166834171,6690.0
40.4980904523,-74.2135175879,6690.0
40.5003517588,-74.257839196,4241.0
40.5003517588,-74.2546733668,4241.0
40.5003517588,-74.25150753770001,4241.0
40.5003517588,-74.2483417085,4241.0
40.5003517588,-74.2451758794,4241.0
40.5003517588,-74.2420100503,4241.0
40.5003517588,-74.2388442211,4241.0
40.5003517588,-74.235678392,4241.0
40.5003517588,-74.2325125628,4241.0
40.5003517588,-74.2293467337,4241.0
40.5003517588,-74.2261809045,4241.0
40.5003517588,-74.2230150754,4241.0
40.5003517588,-74.2198492462,6690.0
40.5003517588,-74.2166834171,6690.0
40.5003517588,-74.2135175879,6690.0
40.5003517588,-74.2103517588,6690.0
40.5003517588,-74.2071859296,6690.0
40.5003517588,-74.2040201005,6690.0
40.5026130653,-74.257839196,6408.0
40.5026130653,-74.2546733668,6408.0
40.5026130653,-74.25150753770001,4241.0
40.5026130653,-74.2483417085,4241.0
40.5026130653,-74.2451758794,4241.0
40.5026130653,-74.2420100503,4241.0
40.5026130653,-74.2388442211,4241.0
40.5026130653,-74.235678392,4241.0
40.5026130653,-74.2325125628,4241.0
40.5026130653,-74.2293467337,4241.0
40.5026130653,-74.2261809045,4241.0
40.5026130653,-74.2230150754,4241.0
40.5026130653,-74.2198492462,6690.0
40.5026130653,-74.2166834171,6690.0
40.5026130653,-74.2135175879,6690.0
40.5026130653,-74.2103517588,6690.0
40.5026130653,-74.2071859296,6690.0
40.5026130653,-74.2040201005,6690.0
40.5026130653,-74.2008542714,6690.0
40.5026130653,-74.1976884422,6690.0
40.5048743719,-74.257839196,6408.0
40.5048743719,-74.2546733668,6408.0
40.5048743719,-74.25150753770001,6408.0
40.5048743719,-74.2483417085,6408.0
40.5048743719,-74.2451758794,6408.0
40.5048743719,-74.2420100503,6408.0
40.5048743719,-74.2388442211,4241.0
40.5048743719,-74.235678392,4241.0
40.5048743719,-74.2325125628,4241.0
40.5048743719,-74.2293467337,4241.0
40.5048743719,-74.2261809045,4241.0
40.5048743719,-74.2230150754,4241.0
40.5048743719,-74.2198492462,6690.0
40.5048743719,-74.2166834171,6690.0
40.5048743719,-74.2135175879,6690.0
40.5048743719,-74.2103517588,6690.0
40.5048743719,-74.2071859296,6690.0
40.5048743719,-74.2040201005,6690.0
40.5048743719,-74.2008542714,6690.0
40.5048743719,-74.1976884422,6690.0
40.5048743719,-74.1945226131,6690.0
40.5048743719,-74.1913567839,6690.0
40.507135678400005,-74.257839196,6408.0
40.507135678400005,-74.2546733668,6408.0
40.507135678400005,-74.25150753770001,6408.0
40.507135678400005,-74.2483417085,6408.0
40.507135678400005,-74.2451758794,6408.0
40.507135678400005,-74.2420100503,6408.0
40.507135678400005,-74.2388442211,6408.0
40.507135678400005,-74.235678392,6408.0
40.507135678400005,-74.2325125628,6408.0
40.507135678400005,-74.2293467337,4241.0
40.507135678400005,-74.2261809045,4241.0
40.507135678400005,-74.2230150754,4241.0
40.507135678400005,-74.2198492462,6690.0
40.507135678400005,-74.2166834171,6690.0
40.507135678400005,-74.2135175879,6690.0
40.507135678400005,-74.2103517588,6690.0
40.507135678400005,-74.2071859296,6690.0
40.507135678400005,-74.2040201005,6690.0
40.507135678400005,-74.2008542714,6690.0
40.507135678400005,-74.1976884422,6690.0
40.507135678400005,-74.1945226131,6690.0
40.507135678400005,-74.1913567839,6690.0
40.507135678400005,-74.18819095479999,6690.0
40.507135678400005,-74.1850251256,6690.0
40.5093969849,-74.2546733668,4908.0
40.5093969849,-74.25150753770001,4908.0
40.5093969849,-74.2483417085,4908.0
40.5093969849,-74.2451758794,6408.0
40.5093969849,-74.2420100503,6408.0
40.5093969849,-74.2388442211,6408.0
40.5093969849,-74.235678392,6408.0
40.5093969849,-74.2325125628,6408.0
40.5093969849,-74.2293467337,6408.0
40.5093969849,-74.2261809045,6408.0
40.5093969849,-74.2230150754,6690.0
40.5093969849,-74.2198492462,6690.0
40.5093969849,-74.2166834171,6690.0
40.5093969849,-74.2135175879,6690.0
40.5093969849,-74.2103517588,6690.0
40.5093969849,-74.2071859296,6690.0
40.5093969849,-74.2040201005,6690.0
40.5093969849,-74.2008542714,6690.0
40.5093969849,-74.1976884422,6690.0
40.5093969849,-74.1945226131,6690.0
40.5093969849,-74.1913567839,6690.0
40.5093969849,-74.18819095479999,6690.0
40.5093969849,-74.1850251256,6690.0
40.5093969849,-74.1818592965,6690.0
40.5093969849,-74.1786934673,6690.0
